episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,epsilon,buffer_size,mean_q
64,-121.49637853791646,-155.06487994028643,92,37.61881455908651,0.0003,1,dqn_learning_rate_low_seed1,0.7255664080186093,6252,-0.0563187056354114
65,-98.87919728465239,-154.76467205432147,126,43.870932936668396,0.0003,1,dqn_learning_rate_low_seed1,0.7219385759785162,6378,10.830325231552123
66,-74.46139417588057,-153.95102648557233,136,40.613321132519665,0.0003,1,dqn_learning_rate_low_seed1,0.7183288830986236,6514,-3.5936436094343662
67,-74.34835797550221,-151.46517214829427,115,53.31994232509447,0.0003,1,dqn_learning_rate_low_seed1,0.7147372386831305,6629,2.7195432843833136
68,-170.36184552691105,-152.35907192827747,119,35.97600980165626,0.0003,1,dqn_learning_rate_low_seed1,0.7111635524897149,6748,-14.121936112110104
69,-81.53279963751162,-151.25254326322747,76,44.91379175374382,0.0003,1,dqn_learning_rate_low_seed1,0.7076077347272662,6824,-4.173156118392944
70,-150.67178406364434,-146.87929706525605,129,55.59412027606668,0.0003,1,dqn_learning_rate_low_seed1,0.7040696960536299,6953,10.089693474769593
71,-112.78529850874448,-146.46153823525106,96,49.680856297413506,0.0003,1,dqn_learning_rate_low_seed1,0.7005493475733617,7049,3.2011991691589357
72,-262.7394882197055,-149.27200819412255,136,50.423122751362186,0.0003,1,dqn_learning_rate_low_seed1,0.697046600835495,7185,-5.077746190522847
73,-136.60557884109818,-150.07749687379567,128,49.5831205425784,0.0003,1,dqn_learning_rate_low_seed1,0.6935613678313175,7313,7.562130063079124
74,-51.8585860728856,-141.3858871337397,107,47.28409497982988,0.0003,1,dqn_learning_rate_low_seed1,0.6900935609921609,7420,13.32170765975426
75,-81.1080621545706,-137.7084960018512,106,54.84105265702841,0.0003,1,dqn_learning_rate_low_seed1,0.6866430931872001,7526,14.618990644812584
76,-100.11911197352691,-132.30967221917533,97,78.35432543951211,0.0003,1,dqn_learning_rate_low_seed1,0.6832098777212641,7623,9.271619222380899
77,-70.71982036360504,-134.47189970076613,130,55.85806857255789,0.0003,1,dqn_learning_rate_low_seed1,0.6797938283326578,7753,-2.1506017255477414
78,-75.11876871321054,-131.6305701933199,80,55.83057554066181,0.0003,1,dqn_learning_rate_low_seed1,0.6763948591909945,7833,11.719875523022242
79,-71.55992631587816,-130.17255003710204,146,48.63899400462843,0.0003,1,dqn_learning_rate_low_seed1,0.6730128848950395,7979,2.8168313511543803
80,-52.83730211169217,-129.75851886550907,159,55.66147392051025,0.0003,1,dqn_learning_rate_low_seed1,0.6696478204705644,8138,13.823133331758005
81,-72.2460809935195,-126.60892966258105,67,41.830617132471566,0.0003,1,dqn_learning_rate_low_seed1,0.6662995813682115,8205,20.09688597633725
82,-198.52217588201404,-127.78691178389967,128,72.40797709021717,0.0003,1,dqn_learning_rate_low_seed1,0.6629680834613705,8333,5.041208226506303
83,-83.08648437190908,-125.00280844844359,122,46.87594028867659,0.0003,1,dqn_learning_rate_low_seed1,0.6596532430440636,8455,13.981746420264244
84,-276.1911732335776,-129.0569154801873,149,36.757227010374905,0.0003,1,dqn_learning_rate_low_seed1,0.6563549768288433,8604,-17.635032050884686
85,-53.87651426172209,-126.18183416380863,110,62.52659339362925,0.0003,1,dqn_learning_rate_low_seed1,0.653073201944699,8714,25.81053883096446
86,-78.49921091217362,-120.09043216994425,81,83.85067381093532,0.0003,1,dqn_learning_rate_low_seed1,0.6498078359349755,8795,17.460935522008825
87,-15.087089303772473,-116.46585105108737,128,70.60361286532134,0.0003,1,dqn_learning_rate_low_seed1,0.6465587967553006,8923,20.1332769502293
88,-38.24539498650613,-114.79335256831585,124,94.5130749998554,0.0003,1,dqn_learning_rate_low_seed1,0.6433260027715241,9047,4.483170559531764
89,-72.66739803645912,-115.53324136173246,167,61.740131145465874,0.0003,1,dqn_learning_rate_low_seed1,0.6401093727576664,9214,17.090351896901286
90,-44.13052741000915,-114.50829322141341,129,48.7715405918831,0.0003,1,dqn_learning_rate_low_seed1,0.6369088258938781,9343,12.590780760790851
91,-17.541072299193345,-112.83403212889294,166,91.2532988219376,0.0003,1,dqn_learning_rate_low_seed1,0.6337242817644086,9509,22.72597452472238
92,-20.606838900355697,-109.684455514854,105,74.61341281845456,0.0003,1,dqn_learning_rate_low_seed1,0.6305556603555866,9614,16.132998320791458
