episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,policy_loss,return_mean,return_std,grad_norm,value_loss,adv_mean,adv_std
11,-90.8344619843572,-204.133279061327,73,83.90596771240234,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,83.90596771240234,8.165019949046837e-08,0.9999999403953552,7.207986831665039,0.9898430705070496,0.011307553388178349,1.001729130744934
12,-244.28419031547375,-207.47918833250586,80,-155.3035888671875,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,-155.3035888671875,3.039836826701503e-07,1.0,8.210230827331543,0.9464622735977173,-0.017476161941885948,0.9788429141044617
13,-118.32308255163441,-200.6210263493619,102,199.8024444580078,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,199.8024444580078,2.056944623518575e-07,1.0,9.169682502746582,0.9983870387077332,0.013894996605813503,1.004030466079712
14,-429.89050620770854,-216.99741776781525,133,-315.7832336425781,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,-315.7832336425781,-6.274173180997877e-09,1.0,18.819440841674805,1.017677903175354,-0.012917925603687763,1.0125312805175781
15,-324.6759824180401,-224.1759887444969,92,-231.53738403320312,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,-231.53738403320312,-3.9261320239347697e-07,1.0,21.401229858398438,0.9289023280143738,-0.019744794815778732,0.9688735604286194
16,-203.8771067868252,-222.9073086221424,111,-23.24040412902832,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,-23.24040412902832,-3.0070810908000567e-07,1.0,1.676106572151184,0.9847762584686279,-0.0013602322433143854,0.996858537197113
17,-182.85812827809866,-220.55147448425748,112,-358.98291015625,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,-358.98291015625,1.9318291322178993e-07,1.0,9.30285930633545,0.9861916303634644,-0.020679572597146034,0.9973187446594238
18,-229.93635956493458,-221.07285698873955,93,29.94597053527832,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,29.94597053527832,-8.927878525355482e-07,1.0,2.521090030670166,0.9512264132499695,0.0025038686580955982,0.980591356754303
19,-50.42627670218231,-212.0914580262892,74,75.15354919433594,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,75.15354919433594,1.9331235279196335e-08,1.0,14.280028343200684,0.9878332614898682,0.009886464104056358,1.000632882118225
20,-171.01143428808427,-210.0374568393789,69,-147.99742126464844,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,-147.99742126464844,-2.1250352233437297e-07,1.0,4.328157901763916,0.9624502062797546,-0.02244034968316555,0.9879741668701172
21,-110.52654926534406,-205.29884219299632,78,96.6306381225586,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,96.6306381225586,5.5019672373646245e-08,1.0,5.236992835998535,0.994963526725769,0.011468141339719296,1.0038684606552124
22,-407.22148684710487,-214.4771442227285,109,-618.6368408203125,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,-618.6368408203125,4.4183994418744987e-07,0.9999999403953552,57.16963195800781,0.9961917400360107,-0.03764766454696655,1.0019906759262085
23,-86.06740120752454,-208.89411191771967,58,-54.028594970703125,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,-54.028594970703125,-1.7341868385756243e-07,0.9999999403953552,4.427364826202393,0.9720830321311951,-0.011610356159508228,0.9944847822189331
24,-46.75771614748801,-202.13842876062665,123,79.83080291748047,0.0005,1,reinforce_gamma99_hidden64_baseline_ep2000_seed1,79.83080291748047,-1.6476080944016758e-08,1.0,7.663404941558838,0.9814977645874023,0.0038029600400477648,0.9947503209114075
