episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,epsilon,buffer_size,mean_q
126,-309.6186534990736,-179.12150164242104,102,169.1972849182054,0.001,1,dqn_epsilon_decay_vath187_seed1,0.998974881618829,11381,0.0
127,-290.11871390269175,-182.75825298912082,93,227.13535701844,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9989667499632926,11474,0.0
128,-162.1896610462885,-184.20173732281154,102,199.3304226959453,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9989586183739478,11576,0.0
129,-101.76032426910209,-185.11798908582415,70,239.6982501438686,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9989504868507942,11646,0.0
130,-105.26252128857355,-182.27291150817408,63,218.4656629562378,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9989423553938312,11709,0.0
131,-194.53261412567056,-182.56853945658725,123,201.10218162071413,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9989342240030583,11832,70.39437866210938
132,-376.4134311360153,-187.4820349696613,99,218.07558521598276,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9989260926784749,11931,0.0
133,-170.88482825996024,-188.80999297615486,79,198.63766070559055,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9989179614200804,12010,0.0
134,-187.06415067342934,-187.3026430692693,121,168.38565798239276,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9989098302278744,12131,0.0
135,-380.9108387970876,-192.47530011553374,102,170.46353379651612,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9989016991018563,12233,0.0
136,-132.36932460270225,-189.89888155741673,111,234.60521980448885,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9988935680420256,12344,0.0
137,-202.15116087431744,-192.40237681170495,75,253.30559683799743,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9988854370483816,12419,0.0
138,-355.5293653938562,-191.50309430665078,131,246.24769080868205,0.001,1,dqn_epsilon_decay_vath187_seed1,0.998877306120924,12550,0.0
139,-378.76379827195467,-197.48762724633485,72,136.94544779923228,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9988691752596521,12622,0.0
140,-117.12432552126872,-195.61670462609908,99,177.26684933720213,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9988610444645655,12721,0.0
141,-134.22367277648448,-195.82055116311415,111,186.34747554804827,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9988529137356635,12832,0.0
142,-127.34148479343534,-192.1942740665211,110,176.0706056724895,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9988447830729457,12942,0.0
143,-92.29973162360821,-190.94566785258567,68,253.48417542261237,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9988366524764114,13010,0.0
144,-186.12816021054698,-191.38556314536407,95,235.54161767959596,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9988285219460602,13105,0.0
145,-109.07651593334481,-190.76037044716722,82,140.45509608780466,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9988203914818915,13187,0.0
146,-164.83136662925568,-190.6151481897179,82,182.0456480165807,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9988122610839048,13269,0.0
147,-353.9356957371782,-195.138470885812,99,143.09764299007378,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9988041307520995,13368,0.0
148,-480.53110912047225,-198.52203046525224,96,201.52317413191,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9987960004864751,13464,0.0
149,-291.7969868052601,-197.72681553866772,100,266.24340581417084,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9987878702870311,13564,0.0
150,-117.5960437957203,-198.3644025456185,87,210.56677036175782,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9987797401537669,13651,0.0
151,-315.15292750677196,-202.00693103985918,109,316.1370170225791,0.001,1,dqn_epsilon_decay_vath187_seed1,0.998771610086682,13760,0.0
152,-231.45353909045684,-205.44906136203565,106,238.55187588592744,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9987634800857759,13866,0.0
153,-121.40502103180053,-204.24604552182936,82,203.6560811589404,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9987553501510479,13948,0.0
154,-102.11438684354525,-202.51259622062534,79,192.19246059731591,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9987472202824976,14027,0.0
155,-259.7032925173884,-205.33657047465374,111,228.25125294762688,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9987390904801244,14138,0.0
156,-312.21336615607777,-206.92931478067777,120,216.52089139620463,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9987309607439279,14258,0.0
157,-96.18842389495202,-207.5234018920321,65,122.75120136554425,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9987228310739074,14323,0.0
158,-119.23850149496117,-208.12678356850265,96,164.23672633866468,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9987147014700624,14419,0.0
159,-89.70411891408027,-208.0431451036045,101,180.21316795537967,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9987065719323923,14520,0.0
160,-299.16606289069085,-207.70089464526436,98,183.90996943444623,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9986984424608968,14618,0.0
161,-506.05318922747125,-214.8571620545703,104,169.429220195,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9986903130555751,14722,0.0
162,-180.3824818366021,-216.21968243575128,82,188.71305157498617,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9986821837164268,14804,0.0
163,-219.50957668918005,-218.26317578726983,100,163.49599487781524,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9986740544434514,14904,0.0
